name,from,to,rating,Tv/Movie,Country Name,Time Duration,Genre,votes,reviews,Meta Score,Certificate,critics,creators,stars,popularity_rank,Popularity up or down
The Legend of Korra,2012,2014,8.4,TV,USA,23min,comedy,"92,843",232,None,TV-Y7-FV,25,Michael Dante DiMartino  Bryan Konietzko  ,Janet Varney  P.J. Byrne  David Faustino  ,102,-1
Bad Boys for Life,2020,None,6.7,Movie,USA,2h 4min,comedy,"97,854",975,59,None,230,Adil El Arbi  Bilall Fallah  ,Peter Craig  Joe Carnahan  ,35,1
Back to the Future,1985,None,8.5,Movie,USA,1h 56min,comedy,"1,008,630","1,149",87,PG,240,Robert Zemeckis  ,Robert Zemeckis  ,36,2
Bones,2005,2017,7.8,TV,USA,40min,comedy,"134,593",218,None,TV-14,55,Hart Hanson  ,Emily Deschanel  David Boreanaz  Michaela Conlin  ,109,8
It's Always Sunny in Philadelphia,2005,None,8.8,TV,USA,22min,comedy,"182,360",310,None,TV-MA,87,Glenn Howerton  Rob McElhenney  ,Charlie Day  Glenn Howerton  Rob McElhenney  ,112,-10
The Healer,2017,None,6.3,Movie,Spain,1h 53min,comedy,"5,176",67,None,Not Rated,12,Paco Arango  ,,41,"3,016"
Sex Education,2019,None,8.3,TV,UK,45min,comedy,"135,049",867,None,TV-MA,46,Laurie Nunn  ,Asa Butterfield  Gillian Anderson  Ncuti Gatwa  ,119,4
Seinfeld,1989,1998,8.8,TV,USA,22min,comedy,"242,907",468,None,TV-PG,33,Larry David  Jerry Seinfeld  ,Jerry Seinfeld  Julia Louis-Dreyfus  Michael Richards  ,121,-1
Sonic the Hedgehog,2020,None,6.6,Movie,USA,1h 39min,comedy,"65,718",961,47,None,239,Jeff Fowler  ,Pat Casey  ,46,None
After Life,2019,None,8.5,TV,UK,30min,comedy,"72,717","1,649",None,TV-MA,58,Ricky Gervais  ,Ricky Gervais  Tom Basden  Tony Way  ,122,-40
Scrubs,2001,2010,8.3,TV,USA,22min,comedy,"231,461",348,None,TV-14,64,Bill Lawrence  ,Zach Braff  Donald Faison  Sarah Chalke  ,125,-6
The VelociPastor,2018,None,5.2,Movie,USA,1h 15min,comedy,"2,186",99,None,None,48,Brendan Steere  ,,54,35
Two and a Half Men,2003,2015,7.0,TV,USA,22min,comedy,"234,941",393,None,TV-14,50,Lee Aronsohn  Chuck Lorre  ,Jon Cryer  Ashton Kutcher  Angus T. Jones  ,128,9
Gilmore Girls,2000,2007,8.1,TV,USA,44min,comedy,"93,261",335,None,TV-PG,38,Amy Sherman-Palladino  ,Lauren Graham  Alexis Bledel  Keiko Agena  ,129,1
The Umbrella Academy,2019,None,7.9,TV,USA,1h,comedy,"100,628","1,038",None,TV-14,59,Steve Blackman  Jeremy Slater  ,Ellen Page  Tom Hopper  David Castañeda  ,130,2
The Walking Dead,2010,None,8.2,TV,USA,44min,horror,"827,558","1,801",None,TV-14,310,Frank Darabont  Angela Kang  ,Andrew Lincoln  Norman Reedus  Melissa McBride  ,22,9
Supernatural,2005,2020,8.4,TV,USA,44min,horror,"374,423",955,None,TV-14,119,Eric Kripke  ,Jared Padalecki  Jensen Ackles  Jim Beaver  ,23,14
The Hunt,(202,None,6.4,TV,USA,1h 30min,horror,"38,376",576,50,None,199,Craig Zobel  ,Nick Cuse  ,8,34
What We Do in the Shadows,2019,None,8.4,TV,USA,30min,horror,"24,935",244,None,TV-MA,24,Jemaine Clement  ,Kayvan Novak  Matt Berry  Natasia Demetriou  ,40,13
